translation,transliteration,charater_count
There Ewarimuša should take care of the outstanding claims of the man from Tumliya.,a-ma-kam Im-ra-mu-ša a-na ba-áb-tim ša Tù-um-li-a-i-im li-hi-id,63
They will measure their debts to me personally at home until harvest time.,a-na e-bu-ri-im i-na bé-tim i-a-tim i-ma-du-du-ú,48
"The 1/3 mina of amūtum of Kukuzu and Šu-kuttum, which Šu-Ištar, Ikūn-pīya, and Šāt-ilī claim, will be sold.",i-1/3 ma-na a-mu-tim ša Ku-ku-zi ú Šu-ku-tim ša qá-tì Šu-Ištar I-ku-pì-a ú ša ú Ša-at-i-lí ša-ak-na-at-ni i-ta-da-an a-mu-tim,125
"If the men are staying in the sikkātum, then when they arrive I shall send you both <gap>and the wool <gap>",ú ší-im ku-a-ú-tim šu-ma a-we-lu i-na sí-kà-tim wa-áš-bu i-na e-ra-bi-šu-nu lu <gap>lu SÍG-tim e-ba-<gap>ú-šé-ba-lá-kum <gap>,125
"He received 1 5/6 mina and 9 1/3 shekels of silver, which Aššur-emūqī added to the goods under the administration of Iddin-Aššur.",1 5/6 ma-na 9 1/3 GÍN KÙ.BABBAR ša a-na lu-qú-tim ša šé-ep I-dí-A-šùr A-šùr-e-mu-qí ú-ra-de8-ú il5-qé,101
"Seal of Amur-Ištar son of Mišar-rabi, seal of Lā-qēp son of Kayātum, seal of Iddin-abum son of Issu-arik.",KIŠIB A-mur-Ištar DUMU Mì-šar-GAL KIŠIB La-qé-ep DUMU Kà-a-tim KIŠIB I-dí-a-bi-im DUMU I-sú-SUD<gap>,100
May it be a favour for me since I have done you a favour and I have arranged a caravan for you.,šu-qú-ul lu gi5-mì-lu-um i-a-tí ki-ma ag-mì-lu-kà-ni-ma ha-ra-nam a-dí-na-ku-um,79
"If he does not pay, he will add interest of 1 1/2 shekels per mina per month.",i-ša-qal šu-ma lá iš-qúl 1 1/2 GÌN.TA a-na 1 ma-na-im i-ITU.KAM-im ṣí-ib-tám ú-ša-áb ITU.KAM,92
They themselves will carry the grain to Kaniš.,ú-ṭá-tám a-na Kà-ni-iš{ki} šu-nu-ma i-ša-du-du-nim,50
"If he does not pay it within this period, he shall add interest of 1 1/2 shekels for every 1 mina each month.",i-ša-qal šu-ma lá iš-qúl 1 1/2 GÍN.TA i-na ITI.KAM-im a-na 1 ma-na-im ṣí-ib-tám ú-ṣa-áb ITI.KAM,95
Draw the attention of both your female servants to 10 mina of purified silver and 1/2 mina of gold about the nišhatum.,10 ma-na KÙ.BABBAR ù ni-is-ha-sú ṣa-ru-pu-um 1/2 ma-na 3 GÍN KÙ.GI i-na ú-za-an ṣú-ha-ar-té-en ša-ki-in,103
I will take the palace copper and go to Wahšušana.,wa-áš-ba-ku URUDU ša É.GAL-lim a-ma-ha-ar-ma a-ta-bi4-ma a-na Wa-ah-šu-ša-na a-ta-lá-ak a-ṣé-er,95
"To Kuliya, thus says Ababaya: ""We are well, your youngsters are wel and your people are well. Like/Instead of you <gap>of your father <gap>your words <gap>on me <gap>Who could give me <gap>By what you <gap>you have treated me <gap>do not <gap>since no letter of yours arrives here.""",a-na Ku-li-a qí-bi4-ma um-ma A-ba-ba-a-ma šál-ma-ni ṣu-hu-ur-kà ša-lim ni-šu-kà šál-mu ki-ma ku-a-tí i-<gap>a-bi4-kà a-<gap> <gap> <gap> a-wa-tí-kà <gap> i-ṣé-ri-a <gap> ma-num <gap> li-dí-nam <gap>ša ta-<gap> <gap>té-tap-ša-ni <gap>na <gap> <gap> e.lá i-<gap> <gap> e tù-kà-<gap> iš-tù na-áš-pè-er-ta-kà lá ta-lá-kà-ni,319
The judgement of the small and the great was given to Kārum Wahšušana: Pilah-Ištar and Aššur-taklāku three people as witnesses and brother will question brother one of the parties will question the other and both they will tell him the witnesses of Aššur-taklāku who opposed him and they will search for and tell him the witnesses of Ikūnum who opposed him.,kà-ru-um Wa-ah-šu-ša-na ṣa-hi-ir GAL dí-nam i-dí-ma Pì-lá-ah-Iš-tar ù A-šur-ták-lá-ku 3 i-ṣa-bu-tù-ma a-hu-um a-ha-šu ù ší-bé ša A-šur-tak-lá-ku iš-ku-nu-šu-ni i-za-kàr-šu-um ší-bé ša I-ku-nim iš-ku-nu-šu-ni i-šé-e ú-lá i-za-kàr-šu-um,234
<gap> I paid him in tin to smuggle.,<gap><gap>a-šu-mì-šu <gap> <gap> a-na pá-zu-ur-tí-šu-ma AN.NA-ki áš-qú-ul,73
"The seal of Inarmi, son of Bulina;",KIŠIB I-na-ar-mì-i DUMU Bu-li-na,32
"The beginning of the month of Kuzallu, the year of Enna-Su'en, son of Iddin-ābum.",SAG ITU.1.KAM Ku-zal-li li-mu-um En-na-Sú-en6 DUMU I-dí-a-bi4-im,64
My father left the document with me. Tell me whether the seal on the document is your father's seal.,me-tim-ma a-bi ṭup-pá-am e-zi-ba-am ṭup-pu-um ku-nu-uk a-bi-ku-nu lá ku-nu-uk a-bi-ku-nu ku-nu-ki ú-dí-a,104
"He said: ""Set a term for me for the gold and take the silver.""",um-ma šu-ut-ma a-na KÙ.GI u4-me šu-uk-nam-ma KÙ.BABBAR le-qé,60
"You are my brothers! When you hear my letter, find out how this matter is going and write to me so that I may act according to the news here!",a-hu-ú-a be-lu-a a-tù-nu ki-ma ṭup-pí-i ta-áš-me-a-ni a-wa-tám iš-te-et ša ki-ma i-lu-ku-ú ṣa-áb-ta-ma šu-up-ra-nim-ma a-na-kam ṭé-mì-i lu ṣa-áb-ta-am,150
I kept a lawyer and collected my father's money for ten years.,ù a-na-ku iš-tù 10 ša-na-at ra-bi-ṣa-am aṣ-ba-ta-ma KÙ.BABBAR a-bi-a ú-pá-hi-ir,79
Do not take out the money!,KÙ.BABBAR lá tù-še-ṣa-a,23
I spent 1 mina or more.,KÙ.BABBAR 1 ma-na ù e-li-iš ag-mu-ur-ma,39
When he returns from the City he will pay. If Dudu catches up with Uṣurānum on the way to the City he will pay him the silver in the City.,iš-tù a-lim{ki} i-tù-wa-ri-šu i-ša-qal šu-ma Ú-ṣú-ra-nam a-na a-lim{ki} Du-du ik-ta-ša-šú KÙ.BABBAR i-na a-lim{ki} i-ša-qal-šum,127
"From Aššur-idī to Aššur-nādā, Ilī-ālum and Aššur-taklāku I have to make my payments to my shareholders in the month Narmak-Aššur.",um-ma A-šur-i-dí-ma a-na A-šùr-na-da Ì-lí-a-lim ù A-šur-ta-ak-lá-ku qí-bi-ma ma-áš-qal-tí a-na um-me-a-ni-a i-na Na-ar-ma-ak-A-šur a-ša-qal,139
Have Ilī-ālum seal 20 minas of silver for me; he should also seal 8 minas of silver which he owes on maintenance to be paid before the month Kuzallu.,20 ma-na KÙ.BABBAR Ì-lí-a-lúm li-ik-nu-kam ú 8 ma-na KÙ.BABBAR ša a-na ma-na-ah-tim a-na Ku-zal-li ha-bu-lu šu-ut-ma li-ik-nu-kam,
"Let your message go to Irnuid's address, and I will go to consult about your property.",té-er-ta-kà a-ṣé-er Ìr-nu-id li-li-ik-ma mì-li-ik lu-qú-tí-kà lá-li-ik,70
"To Innaya, Puzur-Aššur said: Bur-Aššur received the tablet here concerning Puzur-Su'en's debt to Ilī-wēdāku.",a-na I-na-a qí-bi4-ma um-ma Puzur-A-šur-ma a-na-kam Bur-A-šur tup-pá-am ša hu-bu-ul Puzur-Sú-en6 a-šar Ì-lí-we-da-ku ú-šé-ṣí-a-ma a-na,134
"Manum-balum-Aššur and Šuzuzu said to Aššur-bāni: You shall not enter Purušhattum for Amur-Ištar, son of Išar-kīd-Aššur, and you shall not make an agreement with him.",um-ma Ma-nu-um-ba-lu-um-A-šur ú Šu-zu-zu-ma a-na A-šur-ba-ni-ma a-na šé-er A-šur-ba-ni-ma a-na šé-er A-mur-Ištar DUMU I-šar-ki-da-A-šur a-na Pu-ru-uš-ha-tim lá te-ra-áb-ma lá ta-ma-gàr a-wi-lam,193
"Urgent, do not open it up for the lady and give her nothing. Also, I sent her directions with Ewarimuša.",a-pu-tum a-na a-wi-il5-tim lá ta-pá-tí-ri ú mì-ma lá ta-dí-ni-ší-im ú iš-tí E-wa-ri-mu-ša ta-hi-tám,99
You wrote here and you said: If anyone <gap>,a-na Lu-zi-na qí-bi4-ma ta-áš-pu-ra-am um-ma a-ta-ma šu-ma ma-ma-an,67
I gave all of this to Aduda and Hadayani to be sold in the presence of Nūr-kī-ilī.,KÙ.BABBAR i-a-um mì-ma a-nim a-na A-du-dá ù Ha-da-a-ni a-na ší-a-ma-tim a-dí-in IGI Nu-ur-ki-li,95
"Seal of Ilī-nādā, son of Baziya, seal of Ennam-Aššur, son of Kariya, seal of Kitaya, that Kitaya will manage 1/2 mina of silver belonging to Elamma.",KIŠIB DINGIR-na-da DUMU Ba-zi-a KIŠIB En-nam-A-šùr DUMU Kà-ri-a KIŠIB Ki-ta-a ša 1/2 ma-na KÙ.BABBAR ṣa-ru-pá-am ša E-lá-ma Ki-ta-a i-bé-el,139
He is held by the silver.,iš-tí KÙ.BABBAR uk-ta-al ,
"If he goes away to somewhere else, he will charge him 1 shekel per month.",šu-ma a-e-ša-ma ú-da-pí-ir 1 GÍN.TA i-na ITU.1.KAM i-ma-nu-šu,
The silver is bound on the one of them who is solvent and reliable.,KÙ.BABBAR i-qá-qá-ad šál-mì-šu-nu ú ke-ni-šu-nu ra-ki-is,56
Eponymy of Hanna-nārum. ,li-mu-um Ha-na-na-ru-um,
"Bēlum-bāni, son of Gaziya, assisted Ab-šalim and the sons of Ali-ahum. A tablet of 24 minas and 35 shekels of tin, on the name of 'creditor', has been deposited as pledge.",i-ša-ha-at Áb-ša-lim ú me-er-e A-lá-hi-im Be-lúm-ba-ni DUMU Ga-zi-a i-zi-iz ṭup-pá-am ša 24 1/2 ma-na 5 GÍN AN.NA ša šu-mì tám-kà-ri-im wa-du a-ša-par-tim na-di-ma,
"This silver was taken in the name of Ali-ahum. Seal of Aššur-taklāku Qardāya, seal of Ṭāb-ṣilli-Aššur, son of Aššur-balāṭī, seal of Dadāya, son of Nimar-Ištar.",KÙ.BABBAR a-num a-šu-mì A-lá-hi-im lá-qé KIŠIB A-šùr-ta-ak-lá-ku DUMU Qar-da-a-a KIŠIB DÙG-ṣí-lá-A-šùr DUMU A-šùr-ba-lá-ṭí KIŠIB Da-da-a DUMU Ni-mar-Ištar,
"24 minas 35 shekels of kukru-tin and 4 textiles Dadāya, son of Nimar-Ištar, owes to the creditor.",24 1/2 ma-na 5 GÍN AN.NA ku-uk-ru 4 TÚG.HI.A i-ṣé-er Da-da-a-a DUMU Ni-mar-Ištar DAM.GÀR,
"Moreover, my instruction came to you a second time. If he did not give you the cloth, demand it and give it to me as my share.",ú té-er-tí a-dí ší-ni-šu i-li-kà-kum šu-ma TÚG lá i-dí-na-kum e-ri-šu-ma a-na qá-tí-a i-dí-<gap>at,98
"Aššur-rē'ī gave 1 mina of silver to Puzur-Aššur, the father of Ennum-Aššur, for his use.",A-šur-SIPA i-dí-in 1 ma-na KÙ.BABBAR a-na be-a-lim a-na Puzur4-A-šur a-bu-ú En-um-A-šur A-šur-SIPA-ma i-dí-šu-um a-ha-ma,120
"It has been 1 year and 5 months since you left Assyria, but you have not brought your daughter's Šāt-ilī loan without interest.",tù-bi-il5 šu a-lim{ki} iš-tù ša-na-at 5 ITU.KAM té-li-a-ma ta-ad-mì-iq-tám ša ṣú-ha-ar-tim lá tù-uš-té-bi4-lam,110
"Upon these statements, our Kārum Kaneš gave us the judgment, and we gave our testimony in the presence of the dagger of God Asur.",a-na a-wa-tim a-ni-a-tim kà-ru-um Kà-né-eš i-dí-ni-a-tí-ma IGI GÍR ša A-šur ší-bu-tí-ni ni-di-in IGI Ku-zi-lá-ni-im,115
"To Šalim-Aššur from Ennam-Aššur: Your representatives entered your house, opened for your tablets and took out the tablet concerning the debt of Uṣur-ša-Aššur and Aššur-ṭāb and we entrusted it to Abuwa.",a-na Ša-lim-A-šur qí-bi-ma um-ma En-nam-A-šur-ma ša ki-ma ku-a-tí a-na É-tí-kà e-ru-bu-ma ṭup-pí-kà ip-té-ú-ma ṭup-pá-am ša hu-bu-ul Ú-ṣú-ur-ša-A-šur ù A-šùr-DÙG ú-šé-li-ú-ma a-na,179
"If Šalim-Aššur's investors raise claim against Ennānum concerning tin <gap>textiles belonging to Ennānum <gap>and Ennam-Aššur, then Ennam-Assur will release Ennānum son of Amriya with Šalim-Aššur's investors for as much tin and ordinary textiles as they clear at the gate of the God.",šu-ma um-me-a-an Ša-lim-A-šur a-na AN.NA ù <gap>na ší TÚG ša En-na-nim <gap> zu ú En-um-A-šur a-na En-na-nim i-tù-ru ma-lá AN.NA ù TÚG ṣú-ba-tí ša qá-tim i-na ba-áb DINGIR-lim i-za-ku-ú iš-tí um-mì-a-an Ša-lim-A-šur En-na-nam DUMU Am-ri-a,238
As the road opens <gap>,ki-ma ha-ra-num na-áp-tù,24
Concerning 24 minas of refined silver that Iddin-abum owes to Aššur-bēl-awātim. Reckoned from the week of Libbaya and Iliš-tikal he must pay within 20 weeks.,ša 24 ma-na KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er I-dí-a-bi-im A-šùr-be-el-a-wa-tim i-šu-ú iš-tù ha-mu-uš-tim ša Li-ba-a ù Ì-lí-iš-tí-kál a-na 20 ha-am-ša-tim,150
You wrote<gap>that we had together<gap>he gave me<gap>you demanded of him. We showed him meteoric iron.,"ta-áš-pu-ra-am <gap>ša ba-ri-ni <gap>a <gap>i-dí-na-ni <gap>té-ri-šu a-mu-tám nu-kà-lim-šu
",91
"Do not oppose me. If we agree, the money is merchant money.
",ṣa-al-mu-tim lá ta-sá-hi-a i-na-am-gu-ri-ku-nu KÙ.BABBAR KÙ.BABBAR-áp tám-kà-ru-tim,83
"Of this, they took 2 5/6 minas and 5 silver as payment for the journey; they wrote to me that 4 pieces of tin were losses.",ú-šé-bi-il5 ŠÀ.BA 2 5/6 ma-na 5 GÍN a-na gám-ri-im ša ha-ra-nim il5-qé-ú 4 ma-na AN.NA mu-ṭá-e iš-pu-ru-nim ša 7 ma-na AN.NA,124
You pointed out your packer; you then gave me 8 shekels of silver belonging to your packer; you refused to give anything to our father's slave.,kà-ṣa-ar-kà tù-dí ša kà-ṣa-ri-kà 8 GÍN KÙ.BABBAR ta-dí-nam a-na ÌR ša a-bi4-ni ta-dá-nam ú-lá ta-mu-a,101
"Šuhurpia, Ma<gap>and Kurkura owe 10 2/3 minas 5 shekels of silver to Aššur-nādā. Reckoned from the week of Šū-Anum and Iliš-tikal they must pay within 3 weeks; if they have not paid within their completed term they will add interest at the rate 3 shekels per month per mina.",10 2/3 ma-na 5 GÍN KÙ.BABBAR ša-ru-pá-am i-ṣé-er Šu-hu-ur-pì-a Ma-<gap>ù Ku-ur-ku-ra A-šùr-na-da i-šu iš-tù ha-mu-uš-tim ša Šu-A-nim ù Ì-lí-iš-tí-kál a-na 3 ha-am-ša-tim i-ša-qú-lu šu-ma i-na u4-me-šu-nu ma-al-ú-tim lá iš-qú-lu 3 GÍN TA i-na ITI.KAM a-na 1 ma-na-im ú-ṣú-bu,273
The tablet that will be revealed with the seal of Adad-ṣulūlī is forged invalid.,ša-bu tup-pu-um ša ku-nu-uk {d}IM-ṣú-lu-li ša e-li-a-ni sà-ar IGI I-ku-pì-a,75
"If he does not pay when it is due, he will add interest of 1 1/2 shekels per mina per month.",i-ša-qal šu-ma i-na u4-me-šu ma-al-ú-tim lá iš-qúl 1 1/2 GIN.TA i-na ITU.KAM a-1 ma-na-im ṣí-ib-tám ú-ša-áb,107
"<gap> minas 17 shekels Aššur-ṣulūlī, <gap> minas minus 1 1/2 shekel Ennamānum, <gap>+2 minas 2 shekels Amur-Ištar, 4 5/6 minas Uzubiškum, 2 minas 57 shekels Azua, 3 minas 7 shekels Kura, 3 minas from an earlier settlement of accounts Kura, 1 mina Mannu-kī-Aššur, 6 minas 12 shekels Ilī-ālum, 2 5/6 minas Aššur-mālik, son of Usānum, 2 minas 12 shekels the son of Itūr-ilī, <gap> minas Pūšu-kēn.",<gap> ma-na 17 GÍN A-šur-DÙL <gap> ma-na LÁ 1 1/2 GÍN En-na-ma-núm <gap>+2 ma-na 2 GÍN A-mur-Ištar 4 5/6 ma-na Ú-zu-ub-iš-ku-um 2 5/6 ma-na 7 GÍN A-zu-a 3 ma-na 7 GÍN Ku-ra 3 ma-na i-pá-ni-ú-tim ni-kà-sé Ku-ra 1 ma-na Ma-nu-ki-A-šur 6 ma-na 12 GÍN I-lí-a-lúm 2 5/6 ma-na A-šur-ma-lík DUMU Ú-sà-ni-im 2 ma-na 12 GÍN DUMU I-tur4-DINGIR <gap> ma-na Pu-šu-ki-in,357
"1 1/2 mina Šu-Kūbum, 9 shekels Aššur-imittī <gap> minas when <gap>a and Kura went to Batna we gave to them.",1 1/2 ma-na Šu-ku-bu-um 9 GÍN A-šur-i-mì-tí <gap> ma-na i-nu-mì <gap>-a ú Ku-ra a-na Ba-at-na i-li-ku-ni ni-dí-šu-nu-tí,
"The seal of Kurara, the seal of Šū-Ištar.",KIŠIB Ku-ra-ra KIŠIB Šu-Ištar ša 10 GÍN,39
"The seal of Aššur-niwarī and Aššur-rabī. To Pilah-Ištar, son of Aššur-rē'ī.",KIŠIB A-šùr-ni-wa-ri ù A-šùr-GAL a-na Pí-lá-ah-Ištar DUMU A-šùr-SIPA,68
2 mina of silver is again with Puzur-Aššur.,2 ma-na KÙ.BABBAR iš-tí Puzur4-A-šur-ma,39
The packet must not be opened.,šu-uq-lu-um lá i-pá-ṭá-ar,25
"Witness Šarwaya, witness Aššur-malik, witness Aššur-imittī.",IGI Ša-ar-wa-a IGI A-šur-ma-lik IGI A-šur-i-mì-tí,49
"If the silver we took is his, then release him. The silver is left in the šadduātum tax.",ma KÙ.BABBAR-áp-šu ša ni-il5-qè-ú wa-šé-ra-šu KÙ.BABBAR i-li-bi ša ša-du-a-tim na-dí,84
"""My terms are still running."" I gave it to him for <gap> weeks from the month Te'inātum, eponymy Aššur-malik.",u4-mu-a a-hu-ru iš-tù ITI.KAM té-i-na-tim li-mu-um A-šur-ma-lik a-na <gap> ha-am-ša-tim,87
"Šalmuh and his wife Iškunanika, Išbunahšu and Kiri owe Peruwa 21 sacks of grain, half barley and half wheat, and 15 shekels of silver.",21 na-ru-uq ú-ṭá-tám mì-iš-lúm ŠE-am mì-iš-lúm GIG 15 GIN KÙ.BABBAR i-šé-er Ša-al-mu-ùh ù Iš-ku-na-ni-kà a-ší-tí-šu Iš-bu-na-ah-šu ù Ki-ri Pé-ru-wa i-šu,152
"Further, I entrusted 1 mina of refined silver belonging to Ali-ahum from his caravan, under my seal to Aššur-dan son of Zu'u, the lieutenant.",a-ha-ma 1 ma-na KÙ.BABBAR ṣa-ru-pá-am ša A-lá-hi-im ša e-li-tí-šu ku-nu-ki-a a-na A-šùr-dan DUMU Zu-ú NU.BANDA áp-qí-id,119
To Ennam-Aššur from Anna-anna: After your father died your brother sent a letter to the City and all the goods that were in your father's house you/she brought outside into your brother's hands.,a-na En-um-A-šùr qí-bi-ma um-ma A-na-na-ma iš-tù a-bu-kà me-tù a-hu-kà a-na A-lim{ki} ṭup-pá-am ú-šé-bi-lá-ma mì-ma ú-nu-tám i-na É a-bi-kà i-ba-ší-ú i-na qá-at a-hi-kà a-na ki-dim,180
"My dear brother, send word to inform me.",dan-na a-hi a-ta tí-ir-ta-kà li-li-kam-ma úz-ni pé-té-e,55
She carried a pair of shoes for Puzur-Ana Uṣur-ša-Aššur.,li-ba-am dí-nim šé-ne-en Púzur-A-na a-na Ú-ṣur-ša-A-šùr ub-lam,62
"Ali-ahum, ""Shorty"", took 10 minas.",10 ma-na A-lá-hu-um ku-ri-um il5-qé,35
"Thus Bēlānum, say to Ennam-Aššur, Iddin-Aššur and Pilah-Ištar: ""As for the 2 talents of tin, 4 textiles of fine quality, 3 of current quality, and a black donkey, which Pilah-Ištar will bring down from Hahhum - if a rate of 8:1 is possible, sell the tin for silver and let your report come to me.",um-ma Be-lá-nu-um-ma a-na En-um-A-šur I-dí-A-šùr ù Pí-lá-ah-Ištar qí-bi-ma 2 GÚ AN.NA 4 TÚG.SIG5 3 TÚG ša qá-tim ù ANŠE ṣa-lá-ma-am ša Pí-lá-ah-Ištar iš-tù Ha-hi-im ù-šé-ra-da-ni šu-ma 8 GÍN.TA a-na KÙ.BABBAR AN.NA dí-na ù té-er-tak-nu li-li-kam,245
"To Šalim-wardi: Even here I gave you instructions, saying: ""Let the donkeys from your transport remain.""",li-li-ik a-na Ša-lim-ar-dí qí-bi4-ma a-na-kam-ma ú-na-hi-id-kà um-ma a-na-ku-ma e-ma-ru ša šé-pì-ku-nu li-zi-zu,111
Why is it that you have sold them?,mì-šu ša a-ší-mì-im ta-dí-nu-šu-nu-ni,
And why is it that you sent Šu-Nūnu here?,ú mì-šu ša Šu-Nu-nu a-ni-ša-am ta-áš-pu-ra-ni-ni,
"Also tell Azu: If you have any pirikanu fabrics, send them here so that Ali-ahum may bring you the silver.",AN.NA ša-ma-ši-im ú šu-ma pì-ri-kà-ni ša tí-šu-i-ni šé-bi-li-ma KÙ.BABBAR A-lá-hu-um lu-šé-bi-la-ki-im,102
They shall pay in full over seven years.,ú-ša-qú-lu i-na MU.7.ŠÈ ú-ša-bu-ú-šu,36
<gap>copper <gap>he paid 4000 minas of copper and we moved it into our guest-house.,ta-ša-la-ṭá <gap>ni-ip-<gap> ma <gap> li-me URUDU ni <gap>am <gap> šu 4 li-me URUDU iš-qul-ma a-na É ub-ri-ni,109
"Here I asked them both and they said: ""We received 25 SILA 25 liters of very high-quality oil.""",i-dí-in a-na-kam ki-lá-le-en áš-a-al-ma um-ma šu-nu-ma 25 SÌLA re-iš-tám ni-il5-qé,82
"Of the 75 kutānus belonging to Enna-Suen that they entrusted to Lataya in the City, thereof he left 6 kutānus in Timelkiya.",i-na 75 ku-ta-ni ša En-na-Sú-in ša i-na A-lim{ki} a-na Lá-ta-a ip-qí-du-ni ŠÀ.BA 6 ku-ta-ni i-na Tí-me-el-ki-a,110
"You have borrowed half a mina and 6 shekels of silver from the year of the eponym Dadiya son of Šu-Ilabrat. I seized you in Amkuwa, where you said: 'Go up to Hattuš and produce a debt note with your witness for me'.",um-ma E-a-ma-lik-ma 1/2 ma-na 6 GÍN KÙ.BABBAR iš-tù li-mì-im Da-dí-a DUMU Šu-lá-áp-ra-at tù-kà-al i-na A-ku-wa aṣ-ba-at-kà-ma um-ma a-ta-ma a-na Ha-tù-uš e-li-ma tup-pa-am ša ší-be-kà kà-li-ma-ni,195
"So I went up to Hattuš, but your representatives did not give me their word.",a-na Ha-tù-uš e-li-a-ma ša ki-ma ku-a-tí a-wa-tám lá i-ta-ad-nu-ni a-na ša ki-ma,
"Tell my representatives: 'If he refuses to pay the money there, it will make me angry'. Let your message reach me in Hanaknak.",i-a-tí qí-bi-ma a-ma-kam ki-a-am šu-ma KÙ.BABBAR ša-qá-lam lá i-mu-a ša-am-ri-ṣa-ku a-na Ha-na-ak-na-ak té-er-ta-ku-nu li-li-kà-ma,
From Man-mahir to Ali-ahum: Inform me whether or not they have brought in the textiles from Luhuzattiya.,um-ma Ma-ma-hi-ir-ma a-na A-lá-hi-im qí-bi4-ma šu-ma TÚG.HI.A ša Lu-hu-za-tí- a ú-šé-ri-bu-nim lá ú-šé-ri-bu-nim úz-ni pì-té,124
"If they have brought them in, then convert them to silver as I instructed you <gap> Their smuggling cost 7 1/2 shekels of silver.",šu-ma ú-šé-ri-bu-ni-šu-nu a-ma-lá ú-ša-hi-zu-kà a-na KÙ.BABBAR ta-er-šu-nu <gap> pá-zu-ur-ta-šu-nu 7 1/2 GÍN,
"They asked for 40 shekels of silver from Enna-Suen, but give them 7 1/2 shekels.",KÙ.BABBAR 2/3 ma-na KÙ.BABBAR iš-tí En-na-Sú-in e-rí-šu-ma 7 1/2 GÍN dí-šu-nu-tí,
"Ikūn-piya and Ennam-Aššur seized us, and Ikūn-piya said to Ennam-Aššur: ""Lend me 5 talents of washed, broken copper, and have Puzur-Šamaš reimburse you.""",I-ku-pí-a ù En-um-A-šur iṣ-bu-tù-ni-a-tí-ma um-ma I-ku-pì-a-ma a-na En-um-A-šur-ma 5 GÚ URUDU ma-sí-am ša-bu-ra-am hu-ub-lam-ma Puzur4- {d}UTU li-pu-ul-kà,154
"Ennam-Aššur lent 5 talents of washed, broken copper to Ikūn-piya and Puzur-Šamaš should reimburse Ennam-Aššur.",5 GÚ URUDU ma-sí-am ša-bu-ra-am En-um-A-šur a-na I-ku-pí-a ih-bu-ul-ma Puzur4- {d}UTU En-um-A-šur e-pu-ul,
"When the writing about my mother's ring comes, no one will carry your share.",ší-bu-tí ú i-nu-mì na-áš-pé-er-tim ša a-ni-qí um-mì-a ma-ma-an qá-tí-kà ú-ba-lá-ni,82
"If you wish, then <gap>, and I will send it to you.",li-bi4-kà <gap>-<gap>-ma lu-šé-bi4-lá-kum,41
"If Dušuba and Šunilga say: ""We want to take our slave-girl along"", they will pay 1/2 mina of silver and then they can take the slave-girl along. If anybody vindicates her, saying:",šu-ma um-ma Du-šu-ba-ma ù Šu-ni-il5-ga-ma a-ma-at-ni ni-ta-ru 1/2 ma-na KÙ.BABBAR i-ša-qú-lu-ma am-tám i-ta-ru šu-ma ma-ma-an i-tù-ra-am,136
Thirty minas of refined silver are owed to Aššur-idī by Ennum-Aššur good.,30 ma-na KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er A-šùr-i-dí En-um-A-šur i-šu,66
"From the week of Ilī-nādā, he shall pay for 22 weeks.",iš-tù ha-muš-tim ša DINGIR-na-da a-na 22 ha-am-ša-tim i-ša-qal,
" The 1 mina of silver which he borrowed from you, the 1/2 mina which Aššur-šamšī has brought to you—in tin it was 8 minas—plus the 6 minas of tin that you will claim for the enterprise— take that, and then add in all 14 minas 8 shekels of tin to the silver, seal it for the transportation, and send it to me as a greeting as soon as you arrive.",1 ma-na KÙ.BABBAR ša ih-bu-lá-ku-ni 1/2 ma-na ša A-šùr- {d}UTU-ši ub-lá-ku-ni AN.NA-ak-šu 8 ma-na ù 6 ma-na AN.NA ša a-na ILLAT ta-ša-ku-nu le-qé-ma ŠUNIGIN 14 ma-na 8 GÍN AN.NA a-na ṣé-er KÙ.BABBAR i-dí-ma i-na a-li-ki-im ku-nu-uk-ma i-na e-ra-bi4-kà ma ki-ma,260
"It is up to you there what to do. I sent you 2 minas 57 shekels of silver with Šu-Suen from Hattum, thinking: 'He is my father, he will go and bring tin up for me from the City so that I obtain at least some silver and also can pay silver to my creditor and send what I owe on the basis of my tablet'.",a-ta a-ma-kam ma-lá-kà 3 ma-na LÁ 3 GÍN KÙ.BABBAR iš-tí Šu-Su-en6 iš-tù Ha-tim ú-šé-bi-lá-ku-ma um-ma a-na-ku-ma a-bi šu-ut i-lá-ak-ma iš-tù A-lim{ki} AN.NA ú-šé-lá-ma KÙ.BABBAR 1 GÍN e-li-a-ma ù KÙ.BABBAR a-DAM.GÀR-ri-a a-ša-qal-ma a-na ša ṭup-pì-a ú-šé-ba-al a-ta,265
"In all, 19 1/2 minas of tin were paid.",6 5/6 ma-na TA a-na-ku a-šu-mì-kà áš-qú-ul ŠUNIGIN 19 1/2 ma-na AN.NA i-ší-qí-il5,81
"1 1/2 shekel of tin in the town of Buṭnātum I gave to the inn; 6 shekels of tin in the area of Hanaknak, where we <gap>, I gave to the inn; 3 shekels of tin, when we left Hanigga, I gave to the inn.",1 1/2 GÍN AN.NA i-na a-al Bu-uṭ-na-a-É wa-áb-ri a-dí-in tim 6 GÍN AN.NA i-na pá-tí ša Ha-na-ak-na-ak a-šar ni-IS-GA-ru a-na É ub-ri a-dí-in 3 GÍN AN.NA i-na Ha-ni-ga wa-ṣa-i-ni a-na É ub-ri a-dí-in,197
